Date,Open,High,Low,Close,Adj Close,Volume
2010-03-22,80.930000,81.489998,78.570000,81.250000,81.250000,150682
2010-03-23,81.809998,82.199997,80.849998,81.910004,81.910004,351220
2010-03-24,81.580002,81.639999,79.879997,80.610001,80.610001,261873
2010-03-25,80.250000,81.480003,80.199997,80.529999,80.529999,307763
2010-03-26,80.129997,81.459999,79.540001,80.000000,80.000000,296271
2010-03-28,null,null,null,null,null,null
2010-03-29,80.239998,82.779999,80.180000,82.169998,82.169998,324607
2010-03-30,82.500000,82.739998,81.769997,82.370003,82.370003,311042
2010-03-31,82.500000,83.849998,82.220001,83.760002,83.760002,244435
2010-04-01,83.360001,85.220001,83.209999,84.870003,84.870003,371961
2010-04-04,null,null,null,null,null,null
2010-04-05,85.309998,86.900002,85.059998,86.620003,86.620003,295387
2010-04-06,86.739998,87.089996,86.129997,86.839996,86.839996,244106
2010-04-07,86.760002,87.000000,85.519997,85.879997,85.879997,290480
2010-04-08,85.639999,85.879997,84.379997,85.389999,85.389999,379528
2010-04-09,85.559998,86.370003,84.120003,84.919998,84.919998,389596
2010-04-11,null,null,null,null,null,null
2010-04-12,85.169998,85.709999,84.080002,84.339996,84.339996,442943
2010-04-13,84.360001,84.419998,82.510002,84.050003,84.050003,421904
2010-04-14,83.820000,86.389999,83.709999,85.839996,85.839996,552298
2010-04-15,85.910004,86.269997,85.269997,85.510002,85.510002,425166
2010-04-16,85.349998,85.440002,82.519997,83.239998,83.239998,274095
2010-04-18,null,null,null,null,null,null
2010-04-19,82.919998,83.000000,80.529999,81.449997,81.449997,268760
2010-04-20,81.690002,83.650002,81.510002,83.449997,83.449997,122831
2010-04-21,84.029999,84.639999,82.919998,83.680000,83.680000,344024
2010-04-22,83.470001,84.070000,81.730003,83.699997,83.699997,428236
2010-04-23,83.750000,85.190002,82.919998,85.120003,85.120003,433947
2010-04-25,null,null,null,null,null,null
2010-04-26,85.220001,85.629997,83.730003,84.199997,84.199997,322550
2010-04-27,83.889999,84.330002,81.790001,82.440002,82.440002,337123
2010-04-28,81.839996,83.389999,81.290001,83.220001,83.220001,462842
2010-04-29,83.330002,85.459999,83.010002,85.169998,85.169998,400695
2010-04-30,85.580002,86.500000,85.160004,86.150002,86.150002,393689
2010-05-02,null,null,null,null,null,null
2010-05-03,86.199997,87.150002,85.830002,86.190002,86.190002,392139
2010-05-04,86.089996,86.239998,82.550003,82.739998,82.739998,324726
2010-05-05,82.129997,82.830002,79.150002,79.970001,79.970001,497427
2010-05-06,79.629997,80.389999,74.580002,77.110001,77.110001,512285
2010-05-07,76.949997,78.190002,74.510002,75.110001,75.110001,605011
2010-05-09,null,null,null,null,null,null
2010-05-10,76.110001,78.510002,75.800003,76.800003,76.800003,601534
2010-05-11,77.260002,77.680000,75.360001,76.370003,76.370003,447158
2010-05-12,75.889999,77.000000,74.750000,75.650002,75.650002,441537
2010-05-13,75.470001,76.449997,73.620003,74.400002,74.400002,475847
2010-05-14,73.989998,74.129997,70.830002,71.610001,71.610001,532331
2010-05-16,null,null,null,null,null,null
2010-05-17,71.790001,72.250000,69.269997,70.080002,70.080002,373981
2010-05-18,70.500000,72.519997,68.910004,69.410004,69.410004,355833
2010-05-19,69.110001,71.300003,67.900002,69.870003,69.870003,206381
2010-05-20,71.199997,71.290001,64.239998,68.010002,68.010002,129166
2010-05-21,69.519997,71.230003,69.000000,70.040001,70.040001,553741
2010-05-23,null,null,null,null,null,null
2010-05-24,70.620003,70.959999,69.570000,70.209999,70.209999,449428
2010-05-25,69.900002,70.040001,67.150002,68.750000,68.750000,279820
2010-05-26,70.059998,71.699997,69.209999,71.510002,71.510002,395399
2010-05-27,70.739998,74.750000,70.669998,74.550003,74.550003,405519
2010-05-28,74.900002,75.720001,73.129997,73.970001,73.970001,401812
2010-05-30,null,null,null,null,null,null
